filename,source_url,pages,variant_count,variant_urls,status,http_status,content_type,bytes,width,height,format,sha256,web_filename,web_width,web_height,web_bytes
142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg,https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg,home,5,"https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg | https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg | https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg | https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg | https://static.wixstatic.com/media/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_04f61d366de9472cb87db76b28b272fc~mv2.jpg",downloaded,200,image/jpeg,6378814,3840,2160,JPEG,6d42771daaf13099f61f701e00d4a32e32aa25f59bf51ddca4789a44bb222b2d,142b26_04f61d366de9472cb87db76b28b272fc~mv2.webp,1920,1080,416526
142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg,https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg | https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg | https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg | https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg | https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg | https://static.wixstatic.com/media/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.jpg",downloaded,200,image/jpeg,7126675,3840,2160,JPEG,faf0a2f8816c5896dd95808f3033836842a4ed8c02c96356e688203c70bdcf29,142b26_07ba6ec4ef4e49d680a53ab9a3362f25~mv2.webp,1920,1080,463394
142b26_0a06770949f24d62ab85c008dbe65a0c~mv2.png,https://static.wixstatic.com/media/142b26_0a06770949f24d62ab85c008dbe65a0c~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_0a06770949f24d62ab85c008dbe65a0c~mv2.png/v1/fill/w_100,h_70,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/142b26_0a06770949f24d62ab85c008dbe65a0c~mv2.png",downloaded,200,image/png,616419,1320,930,JPEG,d584595818a1f0b345c41d31c00311f61c9e67da4df1f34af2fdb9dbe28d6b54,142b26_0a06770949f24d62ab85c008dbe65a0c~mv2.webp,1320,930,391104
142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg,https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg,home,5,"https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg | https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg | https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg/v1/fit/w_2400,h_4265,q_90,enc_avif,quality_auto/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg | https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg | https://static.wixstatic.com/media/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_0fee06470ac2445c9ff7742be6377273~mv2.jpg",downloaded,200,image/jpeg,23280915,7680,4320,JPEG,2e8d40f6e1fc5c15430f977a9527eea113f3319ac2fd76f51c8968120788148f,142b26_0fee06470ac2445c9ff7742be6377273~mv2.webp,1920,1080,443096
142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg,https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fill/w_1265,h_561,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg | https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg | https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg | https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg | https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg | https://static.wixstatic.com/media/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_13ce857bed164143a7d79ce6cef3668e~mv2.jpg",downloaded,200,image/jpeg,6026032,3840,2160,JPEG,7c8bc295199a7fb0dd54a5752bc15a40164fdcbc12a890a99c7a32a6d693c22c,142b26_13ce857bed164143a7d79ce6cef3668e~mv2.webp,1920,1080,353610
142b26_2235b92732644760a1cb0e9f8324f090~mv2.png,https://static.wixstatic.com/media/142b26_2235b92732644760a1cb0e9f8324f090~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_2235b92732644760a1cb0e9f8324f090~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/4.png",downloaded,200,image/png,34955,1080,1080,PNG,df0bb65d86dc96537ee2b770fc585c2cee9f1dc013d1ade5823b7ae6071a1c91,142b26_2235b92732644760a1cb0e9f8324f090~mv2.webp,1080,1080,13522
142b26_23939c28cc8644418fb4edd76ddc1ab2~mv2.png,https://static.wixstatic.com/media/142b26_23939c28cc8644418fb4edd76ddc1ab2~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_23939c28cc8644418fb4edd76ddc1ab2~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/6.png",downloaded,200,image/png,24627,1080,1080,PNG,c63724fa74fb476ecd9b6c152d4f68c1c1ce6d0743d116c8c1157f3f7cecb7de,142b26_23939c28cc8644418fb4edd76ddc1ab2~mv2.webp,1080,1080,10598
142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg,https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg,home,5,"https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg | https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg | https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg | https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg | https://static.wixstatic.com/media/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_34c58cd885c64ddebbae12791465bbe3~mv2.jpg",downloaded,200,image/jpeg,7331362,3840,2160,JPEG,5c55b37a2ef47b510e1f196f3dff2962c66fde35f1e30b1a6c16b2806ac060fc,142b26_34c58cd885c64ddebbae12791465bbe3~mv2.webp,1920,1080,487384
142b26_37794a02783f4736bac189f109c1d8f3f000.jpg,https://static.wixstatic.com/media/142b26_37794a02783f4736bac189f109c1d8f3f000.jpg,home,1,"https://static.wixstatic.com/media/142b26_37794a02783f4736bac189f109c1d8f3f000.jpg/v1/fill/w_1080,h_939,al_c,q_85,usm_0.33_1.00_0.00,enc_avif,quality_auto/142b26_37794a02783f4736bac189f109c1d8f3f000.jpg",downloaded,200,image/jpeg,24522,1080,1920,JPEG,e122ba9f63769c89a2064fdd3a4358aca4f44e84375b96571ba0684571c8317e,142b26_37794a02783f4736bac189f109c1d8f3f000.webp,1080,1920,3776
142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png,https://static.wixstatic.com/media/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png,home,3,"https://static.wixstatic.com/media/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png/v1/fit/w_1920,h_927,q_90,enc_avif,quality_auto/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png | https://static.wixstatic.com/media/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png/v1/fit/w_3840,h_1854,q_90,enc_avif,quality_auto/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png | https://static.wixstatic.com/media/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png/v1/fit/w_4638,h_2239,q_90,enc_avif,quality_auto/142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.png",downloaded,200,image/png,8029227,3840,2705,PNG,cca22ffda00e4285e78f5a77761c3398dfd492acb819b613278f18ed4d55b554,142b26_3a60dc75703c4cc2a29c6d44f41b8e21~mv2.webp,1920,1352,943256
142b26_567e195b978947c9b29be195842095af~mv2.jpg,https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg | https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg | https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg | https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg | https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg | https://static.wixstatic.com/media/142b26_567e195b978947c9b29be195842095af~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_567e195b978947c9b29be195842095af~mv2.jpg",downloaded,200,image/jpeg,6343074,3840,2160,JPEG,038163f5ea908e6cb2b9388e9c4f4c1533f4f0391a4775ff246c159285e4d74e,142b26_567e195b978947c9b29be195842095af~mv2.webp,1920,1080,368806
142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png,https://static.wixstatic.com/media/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png,home,4,"https://static.wixstatic.com/media/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png/v1/fill/w_2500,h_1761,al_c/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png | https://static.wixstatic.com/media/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png/v1/fit/w_1920,h_927,q_90,enc_avif,quality_auto/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png | https://static.wixstatic.com/media/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png/v1/fit/w_3840,h_1854,q_90,enc_avif,quality_auto/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png | https://static.wixstatic.com/media/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png/v1/fit/w_4638,h_2239,q_90,enc_avif,quality_auto/142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.png",downloaded,200,image/png,7644138,3840,2705,PNG,9b8c12cb1e9788bf1f2808faa9a02a6b4a6eb43f5b1401eb41927971279bb737,142b26_5a1d622ef5d5437aa5da964188a3266e~mv2.webp,1920,1352,963292
142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg,https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg | https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg | https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg | https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg | https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg | https://static.wixstatic.com/media/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_5a78474b934e4251b54ce25e16770c68~mv2.jpg",downloaded,200,image/jpeg,6865865,3840,2160,JPEG,9b79c05d0bdd2e7cfbb1d517962302f7a64e7cae70f20cef37cb25f783e750fa,142b26_5a78474b934e4251b54ce25e16770c68~mv2.webp,1920,1080,427638
142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg,https://static.wixstatic.com/media/142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg,home,2,"https://static.wixstatic.com/media/142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg/v1/fit/w_1320,h_700,q_90,enc_avif,quality_auto/142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg | https://static.wixstatic.com/media/142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg/v1/fit/w_1521,h_806,q_90,enc_avif,quality_auto/142b26_5f7c47258d394edcbf818b25e3b12965~mv2.jpg",downloaded,200,image/jpeg,252105,1320,930,JPEG,e24b4e402549b408076ceb98fc88f31a2fd5dc2708dcff70f7199d2152975147,142b26_5f7c47258d394edcbf818b25e3b12965~mv2.webp,1320,930,319870
142b26_6d9404833faf412a9db0b9f126feac43~mv2.png,https://static.wixstatic.com/media/142b26_6d9404833faf412a9db0b9f126feac43~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_6d9404833faf412a9db0b9f126feac43~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/5.png",downloaded,200,image/png,37290,1080,1080,PNG,e9bf7f478a02682c6162be2d7c11aafcd0879fee697da91114b0d282a65eab83,142b26_6d9404833faf412a9db0b9f126feac43~mv2.webp,1080,1080,14320
